MAP NAME                  | DIFFICULTY   | CREATOR                        | DATE        
cake_reef                 | Hard         | CAKExSNIFFERx42                | 2024-08-17  
CAKE_SPACE                | Main         | CAKExSNIFFERx42                | 2024-10-27  
cake_strawberry           | Insane       | CAKExSNIFFERx42                | 2024-12-28  
cake_winter               | Main         | CAKExSNIFFERx42                | 2024-07-03  
calm                      | Insane       | bzw                            | 2019-08-02  
Caminata                  | Mod          | Warto                          | 2021-09-10  
Canarda4IsaacElenbaas     | Main         | Canarda                        | 2025-08-17  
CandyLand                 | Main         | Krumplee                       | 2021-05-04  
CandyWorld                | Extreme      | feat                           | 2024-08-11  
capon                     | Extreme      | 夜                              | 2024-07-13  
CastleMania               | Hard         | Krumplee                       | 2019-06-17  
Castlicca1                | Main         | konwic                         | 2020-06-16  
Catalan_Aim               | Hard         | Knuski                         | 2021-08-20  
Catalyst                  | Hard         | Afterbjörn                     | 2025-09-14  
CatLand                   | Extreme      | Mixi                           | 2024-06-14  
CatZone                   | Hard         | Mixi                           | 2024-02-05  
cave                      | Insane       | bzw                            | 2018-11-21  
Caverna                   | Mod          | Warto                          | 2022-03-15  
Celeste                   | Main         | Sarinha                        | 2024-09-15  
Ceniza                    | Mod          | Warto                          | 2022-08-09  
Cereja                    | Easy         | WhySara                        | 2023-02-08  
CGores                    | Main         | Colgate                        | 2019-03-21  
CGores_2                  | Main         | Colgate                        | 2020-07-24  
ChainsawMan               | Hard         | ejjie & Mixi                   | 2024-06-30  
ChainsawMan2              | Insane       | ejjie                          | 2025-07-13  
Challenger                | Extreme      | ѕнαяу                          | 2025-07-22  
Charover                  | Main         | sasha34827                     | 2025-04-04  
CheatMe                   | Main         | Colgate                        | 2019-07-12  
Checkmate                 | Hard         | mind                           | 2024-08-04  
Cherry                    | Main         | FJP                            | 2021-12-07  
Childs3e                  | Main         | ChildOfGod                     | Released during a sunrise
CHILL                     | Easy         | Rei ayanami                    | 2022-06-19  
ChillerDragon4Jessica     | Main         | ChillerDragon                  | Released during a sunrise
ChillerDragores           | Main         | ChillerDragon                  | Released during a sunrise
ChillerDragores10         | Main         | ChillerDragon                  | 2017-10-20  
ChillerDragores11         | Main         | ChillerDragon                  | Released during a sunrise
ChillerDragores12         | Main         | ChillerDragon                  | Released during a sunrise
ChillerDragores16         | Main         | ChillerDragon                  | 2016-12-22  
ChillerDragores18         | Hard         | ChillerDragon                  | Released during a sunrise
ChillerDragores20         | Main         | ChillerDragon                  | Released during a sunrise
ChillerDragores23         | Main         | ChillerDragon                  | 2017-02-27  
ChillerDragores24         | Hard         | ChillerDragon                  | Released during a sunrise
ChillerDragores25         | Easy         | ChillerDragon                  | 2016-11-06  
ChillerDragores26         | Hard         | ChillerDragon                  | 2017-02-18  
ChillerDragores4          | Main         | ChillerDragon                  | Released during a sunrise
ChillerDragores7          | Main         | ChillerDragon                  | Released during a sunrise
Choinka                   | Hard         | Beautemps & Krumplee           | 2021-12-22  
Circuit                   | Easy         | FJP                            | 2023-01-18  
Citadel                   | Hard         | Money Boy                      | 2021-10-05  
CkiS1                     | Insane       | Ckis                           | 2017-07-26  
CkiS2                     | Insane       | CkiS                           | 2017-06-10  
CkiS4Juicy                | Hard         | CkiS & Roco                    | Released during a sunrise
CkiS_4_CLow               | Hard         | CkiS                           | 2018-06-16  
CkiS_4_effect             | Hard         | CkiS                           | Released during a sunrise
CkiS_4_Jimmy              | Hard         | Ckis                           | 2020-09-11  
CkiS_4_Livos              | Hard         | CkiS                           | Released during a sunrise
CkiS_4_MonkeyDream        | Insane       | Ckis                           | 2017-09-21  
CkiS_4_Samu               | Hard         | CkiS                           | Released during a sunrise
Ckis_4_unskilledplayer    | Main         | Ckis                           | 2019-07-25  
CkiSbzw1                  | Insane       | CkiSbzw                        | 2019-06-18  
CkisFlip                  | Insane       | FlipLipp_Ckis                  | 2018-10-11  
CkisFlip2                 | Insane       | FlipLipp_Ckis                  | 2020-01-17  
CkiSNox1                  | Insane       | CkiS                           | 2017-04-23  
CkisTerston1              | Insane       | CkisTerston                    | 2017-08-11  
CkiSzale                  | Hard         | CkiS, zale                     | 2020-10-27  
Clean                     | Hard         | UnKnown                        | 2021-02-19  
ClosedTime                | Hard         | Themed                         | 2022-12-01  
ColdNight                 | Hard         | FlipLipp_Protokol              | 2019-04-12  
ColdNight_twisted         | Unknown      | mind                           | 2024-12-17  
ColorCube1                | Hard         | Krixe                          | 2023-03-01  
ColorCube2                | Hard         | Krixe                          | 2024-12-25  
Conchetumare_X            | Insane       | Phobos                         | 2021-11-07  
Conchetumare_Z            | Insane       | Tae                            | 2023-03-25  
Connerics                 | Insane       | FlipLipp                       | 2018-11-30  
Cooldown_by_Shyzo         | Hard         | Shyzo                          | 2018-06-29  
Cooper1                   | Main         | Cooper                         | Released during a sunrise
Corazon4caroLin           | Insane       | Corazon                        | 2022-02-08  
Corazon4Drakenmake        | Hard         | Corazon                        | 2019-06-15  
Corazon4himself           | Hard         | Corazon                        | 2019-07-23  
Corazon4maxrider2         | Hard         | Corazon                        | 2019-01-17  
Corazon4Ym2               | Hard         | Corazon                        | 2019-01-28  
corgores2                 | Hard         | ImCorneum                      | 2019-11-18  
Corrupted                 | Insane       | JSON                           | 2020-09-08  
Corrupted_Easy            | Main         | JSON                           | 2020-08-11  
Corrupted_Extreme         | Extreme      | JSON                           | 2023-09-30  
CrackedMoon               | Hard         | FlipLipp                       | 2019-04-02  
CrispEZ                   | Easy         | Crispy                         | 2023-03-30  
Crispy4Yoin               | Main         | Crispy                         | 2022-03-04  
Crucified                 | Extreme      | Mixi                           | 2025-03-30  
CTF_Gores                 | Hard         | mind                           | 2020-05-19  
cursed                    | Insane       | Krumplee, bzw                  | 2021-01-06  
Cyanica                   | Insane       | nova                           | 2024-05-25  
cyber                     | Hard         | FlippLip, Beautemps            | 2023-11-27  
D4rn4SForMeow             | Hard         | D4rn4S                         | 2024-05-26  
dabushes                  | Main         | Exless                         | 2021-06-29  
DANCING_FREEZE            | Mod          | Rei ayanami                    | 2022-08-07  
dandadan                  | Hard         | ejjie                          | 2025-01-20  
Dandelinux                | Easy         | tux                            | 2021-06-11  
Danil4Syltoox             | Hard         | Danil                          | 2018-12-15  
dark                      | Insane       | cagent                         | 2021-05-11  
DarkFluff                 | Hard         | nr6man                         | 2025-09-23  
darkforest                | Insane       | Mqx                            | 2023-05-10  
DarkGen                   | Hard         | FlipLipp                       | 2020-01-29  
DarkKitty                 | Main         | Nyanto                         | 2017-07-27  
Dawn                      | Insane       | Zonsa                          | 2021-08-31  
ddrace                    | Extreme      | Themix                         | 2025-06-18  
DeadHook                  | Insane       | Zonsa                          | 2025-06-09  
DeadlyPath                | Insane       | Shyzo                          | 2018-10-07  
Dearevil                  | Hard         | Themix                         | 2025-06-02  
Deceived                  | Insane       | cc                             | 2020-03-01  
Decimation                | Solo         | elnoid                         | 2024-03-08  
DeepMadness               | Main         | Ryozuki                        | Released during a sunrise
DeepSea                   | Insane       | Zale, BoWser                   | 2022-11-15  
Deluxe                    | Hard         | bzw                            | 2019-04-19  
Demonic                   | Insane       | elnoid & Tae                   | 2024-01-16  
Descarkent                | Extreme      | Themix                         | 2025-04-27  
DesertQuest               | Main         | TeeShirt_purrpT                | 2020-02-20  
Destin2                   | Main         | destin & Kero                  | Released during a sunrise
dindila                   | Insane       | bzw                            | 2021-01-04  
dionle                    | Main         | elnoid                         | 2024-12-03  
Discipline                | Solo         | ѕнαяу                          | 2024-05-11  
DM_Gores                  | Main         | mind                           | 2022-11-29  
DoorWays                  | Solo         | Шизик                          | 2023-01-10  
Doppel                    | Hard         | Beautemps, Doppelganger        | 2021-04-02  
Doumed                    | Hard         | badoumed                       | 2022-02-25  
dragonexe                 | Insane       | Zero                           | 2021-04-16  
DragonLore                | Insane       | Omezurion                      | 2023-01-08  
Drakengores_1             | Main         | Drakenmake                     | 2017-12-30  
Dream                     | Hard         | Zonsa                          | 2020-08-18  
Dreamland                 | Hard         | Deploid, se                    | 2021-02-02  
DummyPhantom              | Mod          | tux                            | 2020-11-27  
DuskyDrop                 | Mod          | TeChNoBaSe                     | 2017-06-10  
Dusty_Trip                | Main         | Canarda                        | 2025-05-03  
Dynasty                   | Insane       | Vida                           | 2024-11-17  
DyrteeZ                   | Easy         | Zonsa                          | 2023-08-13  
E4RG                      | Insane       | escenitty                      | 2022-05-03  
EARFQUAKE                 | Extreme      | ejjie & DragonFrey             | 2025-02-08  
Eating_Hooks              | Insane       | Fliplipp, Hesse                | 2021-08-02  
Eden                      | Main         | Noe                            | 2017-07-21  
elnoid4FJP                | Hard         | elnoid                         | 2024-06-10  
Elythrix                  | Main         | xewoiy                         | 2025-09-07  
Encore                    | Main         | encore[love]                   | Released during a sunrise
Encore2                   | Main         | encore[love]                   | Released during a sunrise
Encore3e                  | Main         | encore[love]                   | Released during a sunrise
Encore4e                  | Main         | encore[love]                   | Released during a sunrise
End_of_Sunny_Days         | Hard         | ρнιʐyxxx                       | 2025-12-30  
Entitres                  | Hard         | Themix                         | 2017-01-05  
Ephemeral                 | Insane       | purrp T                        | 2020-12-25  
Error404                  | Insane       | ѕнαяу                          | 2024-03-31  
Erys                      | Insane       | Destin                         | 2019-07-14  
Esaisy                    | Hard         | sasha34827                     | 2025-12-28  
Escape                    | Mod          | Hawerer                        | Released during a sunrise
Escape2                   | Main         | Hawerer                        | Released during a sunrise
Escenitty4Mano            | Insane       | Escenitty                      | 2022-11-28  
Esox                      | Hard         | mind                           | 2025-09-07  
Estern1e                  | Main         | Estern                         | Released during a sunrise
Etuor                     | Hard         | Route66                        | 2021-12-03  
Evaporate                 | Insane       | ZXC¿Girl?                      | 2025-04-13  
Evening                   | Main         | Mqx                            | 2022-01-28  
EvilSunset                | Insane       | Shiiir0                        | 2021-06-27  
Exorcism                  | Insane       | Krumplee                       | 2020-02-12  
ExTr3                     | Hard         | Tr3agle, ExMonarch             | 2023-06-16  
F1                        | Insane       | ρнιʐyxxx                       | 2025-12-26  
FalltimeSunset            | Hard         | purrpT                         | 2020-03-22  
Fearless                  | Main         | Afterbjörn                     | 2024-11-10  
feat4flip                 | Hard         | feat                           | 2019-12-12  
feat4juicy                | Hard         | feat                           | 2020-01-04  
feat4neo                  | Hard         | feat                           | 2020-07-17  
featality                 | Main         | feat                           | 2018-10-20  
featuristic               | Insane       | feat                           | 2018-08-30  
Feet4Tyrone               | Main         | Ssor                           | 2023-05-25  
fik4bzw                   | Hard         | fikmesan                       | 2018-10-29  
fik4Enyltyn               | Main         | fikmesan                       | 2019-04-26  
fik4imp                   | Main         | fikmesan                       | 2019-04-10  
fik4Isi                   | Easy         | fikmesan                       | 2018-06-29  
fik4Kicker                | Main         | fikmesan                       | 2018-06-09  
fik4LemonTee              | Hard         | fikmesan                       | 2020-11-03  
fik4snail                 | Main         | fikmesan                       | Released during a sunrise
fik4SubLime               | Main         | fikmesan                       | 2021-03-22  
fikbzw                    | Main         | fikmesan_bzw                   | 2019-05-16  
fikmesan                  | Main         | fikmesan                       | Released during a sunrise
fikvie                    | Main         | Ravie and fikmesan             | 2018-10-28  
FJP030                    | Main         | FJP, sd030                     | 2022-06-24  
FJPxJonas                 | Insane       | FJP & Jonas                    | 2026-01-12  
Flamingu                  | Main         | ChillerDragon_aka_flamingu     | 2017-02-02  
Flip420                   | Hard         | FlipLipp                       | 2019-03-05  
Flip4Benny                | Insane       | FlipLipp                       | 2019-01-15  
Flip4Bonny                | Hard         | FlipLipp                       | 2019-04-30  
Flip4Busted               | Insane       | FlipLipp                       | 2021-01-09  
Flip4Crack                | Insane       | FlipLipp                       | 2020-10-31  
Flip4feat                 | Hard         | FlipLipp                       | 2019-05-18  
Flip4Hakurei              | Hard         | FlipLipp                       | 2019-05-10  
Flip4Krumplee             | Hard         | FlipLipp                       | 2020-06-09  
Flip4Samo                 | Hard         | FlipLipp                       | 2019-05-10  
Flip4Skiusep              | Hard         | FlipLipp                       | 2020-03-26  
Flip4U                    | Hard         | FlipLipp                       | 2019-10-09  
FlipBzw                   | Insane       | FlipLipp                       | 2018-08-11  
FlipBzw2                  | Insane       | FlipLipp_bzw                   | 2019-02-20  
FlipChillerDestin         | Main         | FlipLipp, ChillerDragon & Destin | Released during a sunrise
FlipDragonYo              | Main         | FlipLipp, Yo & ChillerDragon   | Released during a sunrise
FlipFeat                  | Main         | FlipLipp                       | 2018-10-07  
Flipfeat2                 | Insane       | FlipLipp, Feat                 | 2022-11-21  
FlipGores                 | Main         | FlipLipp                       | 2019-03-16  
FlipGores2                | Main         | FlipLipp                       | 2023-08-01  
FlipHoffi                 | Main         | FlipLipp & HoffiPL             | Released during a sunrise
FlipLipp                  | Main         | FlipLipp                       | Released during a sunrise
FlipLipp10e               | Main         | FlipLipp                       | Released during a sunrise
FlipLipp11                | Hard         | FlipLipp                       | Released during a sunrise
FlipLipp12                | Main         | FlipLipp                       | Released during a sunrise
FlipLipp13                | Main         | FlipLipp                       | Released during a sunrise
FlipLipp14                | Main         | FlipLipp                       | Released during a sunrise
FlipLipp15                | Main         | FlipLipp                       | Released during a sunrise
FlipLipp16                | Main         | FlipLipp                       | Released during a sunrise
FlipLipp17                | Main         | FlipLipp                       | Released during a sunrise
FlipLipp19                | Main         | FlipLipp                       | Released during a sunrise
FlipLipp2                 | Main         | FlipLipp                       | Released during a sunrise
FlipLipp21                | Main         | FlipLipp                       | Released during a sunrise
FlipLipp23                | Main         | FlipLipp                       | Released during a sunrise
FlipLipp25                | Main         | FlipLipp                       | Released during a sunrise
FlipLipp26                | Hard         | FlipLipp                       | Released during a sunrise
FlipLipp27                | Hard         | FlipLipp                       | 2018-01-20  
FlipLipp28                | Hard         | FlippLipp                      | 2018-04-14  
FlipLipp29                | Hard         | FlippLipp                      | 2018-04-29  
FlipLipp2e                | Main         | FlipLipp                       | Released during a sunrise
FlipLipp30                | Insane       | FlipLipp                       | 2018-05-05  
FlipLipp31                | Main         | FlipLipp                       | 2018-06-18  
FlipLipp32                | Hard         | Fliplipp                       | 2018-07-17  
FlipLipp33                | Main         | Fliplipp                       | 2018-07-07  
FlipLipp34                | Hard         | Fliplipp                       | 2018-08-26  
FlipLipp35                | Insane       | FlipLipp                       | 2018-09-28  
FlipLipp36                | Hard         | FlipLipp                       | 2018-10-23  
FlipLipp37                | Main         | FlipLipp                       | 2018-09-28  
FlipLipp38                | Insane       | FlipLipp                       | 2018-11-22  
FlipLipp39                | Hard         | FlipLipp                       | 2024-05-18  
FlipLipp3e                | Main         | FlipLipp                       | Released during a sunrise
FlipLipp4                 | Main         | FlipLipp                       | Released during a sunrise
FlipLipp40                | Hard         | FlipLipp                       | 2025-02-17  
FlipLipp41                | Hard         | FlipLipp                       | 2024-07-23  
FlipLipp5                 | Main         | FlipLipp                       | Released during a sunrise
FlipLipp6                 | Main         | FlipLipp                       | Released during a sunrise
FlipLipp7                 | Main         | FlipLipp                       | Released during a sunrise
FlipLipp8e                | Main         | FlipLipp                       | Released during a sunrise
FlipLipp9e                | Main         | FlipLipp                       | Released during a sunrise
FlipNeo4Chile             | Hard         | Fliplipp                       | 2018-06-29  
FlippLipp6                | Main         | FlippLipp                      | 2018-03-30  
Floatie                   | Main         | BeatDown                       | 2022-07-22  
Fly_to_the_Legends        | Solo         | nealson T'nP                   | 2022-12-15  
Fly_to_the_Legends_2      | Solo         | nealson T'nP                   | 2022-12-15  
Fly_to_the_Mix            | Solo         | Themix                         | 2023-01-27  
fokcores                  | Hard         | fokkonaut, Cor                 | 2020-05-22  
fokkonaut                 | Main         | fokkonaut                      | 2017-02-20  
FortCrispy                | Hard         | Crispy                         | 2023-10-02  
FreedomDive               | Insane       | Afterbjörn                     | 2024-06-02  
FreeMazanitax             | Insane       | Colo-Colo                      | 2023-08-27  
Frostgale_Canyon          | Extreme      | mrs.                           | 2023-12-22  
Frosty                    | Hard         | purrp T                        | 2021-02-12  
Frosty_twisted            | Unknown      | Unknown                        | 2024-11-30  
Fuga                      | Main         | Warto                          | 2023-11-28  
Fujito                    | Hard         | Krumplee                       | 2019-07-08  
Furia                     | Mod          | Warto                          | 2024-05-05  
Generic_Purple            | Main         | Zonsa                          | 2019-06-27  
Genex4Drakenmake          | Hard         | Genex                          | 2019-01-27  
Gesteinskoernchen         | Hard         | Zonsa                          | 2019-09-28  
ghosttown                 | Insane       | se                             | 2020-12-01  
Ghoti                     | Insane       | anix1_sd1 & Warto              | 2025-05-18  
Gianth                    | Main         | Gianth                         | 2016-10-29  
Gigachad                  | Main         | Tyrone, Rei Ayanami            | 2023-01-02  
Gloaming                  | Main         | Shivi                          | 2024-12-24  
goatschool                | Main         | purrpT                         | 2023-06-19  
GoldDigga                 | Main         | GoldDigga                      | 2017-08-18  
Goldie                    | Easy         | MoonCake                       | 2019-01-15  
Goldiensane               | Insane       | purrp T                        | 2021-11-19  
GoodWENTEE                | Easy         | sd030                          | 2022-05-13  
GooreZ                    | Hard         | Zonsa                          | 2019-05-28  
Gorace                    | Mod          | tux                            | 2019-08-04  
Gores-Dream1              | Main         | ---                            | Released during a sunrise
Gores_of_Diamonds         | Hard         | mind                           | 2022-05-21  
Gores_of_Spades           | Insane       | mind                           | 2022-12-03  
Goresco                   | Solo         | Zonsa                          | 2023-06-08  
goryx                     | Hard         | purrpT                         | 2020-03-11  
GoWindy1                  | Insane       | Windy                          | 2022-09-05  
Gradzes                   | Hard         | sasha34827                     | 2025-06-18  
Granulos_De_Roca          | Insane       | Zonsa                          | 2020-07-21  
Grassy_Lands              | Hard         | Canarda                        | 2025-09-23  
Grayscale                 | Hard         | Thermiq                        | 2023-12-31  
GreeniRedFight            | Main         | Greeni & RedFight              | Released during a sunrise
GreenMoon                 | Hard         | FlipLipp                       | 2018-12-11  
Greeny                    | Easy         | KOF                            | 2022-04-26  
Greyfox                   | Main         | Zonsa                          | 2022-01-02  
Greylight                 | Hard         | Krixe                          | 2022-07-05  
GreyZ                     | Insane       | Zonsa                          | 2020-06-21  
Gridwyn2                  | Main         | Gridwyn                        | Released during a sunrise
Gridwyn3                  | Main         | Gridwyn                        | Released during a sunrise
Gridwyn4                  | Main         | Gridwyn                        | Released during a sunrise
Gridwyn5                  | Main         | Gridwyn                        | Released during a sunrise
Gridwyn6                  | Main         | Gridwyn                        | Released during a sunrise
Gridwyn7                  | Main         | Gridwyn                        | Released during a sunrise
Gridwyn8                  | Main         | Gridwyn                        | Released during a sunrise
Grieta                    | Main         | Warto                          | 2021-11-03  
Ground                    | Insane       | JSON                           | 2021-01-22  
Grusland                  | Insane       | bzw                            | 2024-12-30  
Grusland2                 | Extreme      | bzw                            | 2024-12-31  
GuessRocks                | Hard         | Ravie                          | 2020-06-26  
Gundeon                   | Extreme      | Themix                         | 2023-12-19  
Habbo                     | Easy         | ZXC¿Girl?                      | 2025-10-05  
Hailstorm                 | Hard         | Quinn, Latexxs.                | 2022-11-15  
hanh_phuc                 | Mod          | Syltoox                        | 2020-06-03  
Hasselbach                | Hard         | Hesse                          | 2024-07-17  
Hawerdummy                | Mod          | Hawerer                        | 2018-03-09  
HeatUp_by_Shyzo           | Insane       | Shyzo                          | 2018-06-17  
Heatwaves                 | Hard         | Crispy                         | 2023-08-19  
Heavens_End               | Extreme      | purrp T                        | 2021-12-24  
Hendrix4Xoxo              | Hard         | Hendrix                        | 2022-02-04  
Henesys                   | Hard         | Larlok                         | 2018-08-16  
HeyBzw                    | Main         | bzw                            | 2022-03-01  
HeyTux                    | Main         | TUX                            | 2018-05-13  
HeyTux2                   | Main         | Tux                            | 2018-08-13  
HeyTux3                   | Main         | TUX                            | 2018-09-23  
HeyTux4                   | Main         | Tux                            | 2018-11-27  
HeyTux5                   | Main         | Tux                            | 2018-12-23  
HeyTux6                   | Hard         | Tux                            | 2019-11-20  
